shape_id,distance_km,pack_used_kwh_heavy_duty,pack_used_kwh_medium_duty,kwh_per_km_heavy_duty,kwh_per_km_medium_duty,route_id,route_short_name,route_long_name,route_direction
307476,13.442826734139269,29.404825588474363,18.473852650240346,2.1884417672857017,1.374253571484659,6627,025,Brentwood Station/UBC,EAST
307478,16.75184879460952,36.081688662446005,23.653183181529066,2.1594601389155894,1.4119744913851113,6627,025,Brentwood Station/UBC,EAST
307479,23.29572409337228,49.93350844837935,32.6206312427935,2.142306354160325,1.400284065524033,6627,025,Brentwood Station/UBC,EAST
307481,17.129161661358825,40.134175150908206,27.336339429398777,2.3374983248327617,1.5958947653034314,6627,025,Brentwood Station/UBC,WEST
307482,19.70547630983567,44.128573059637844,28.96114921839688,2.2372347364780745,1.4697005422772444,6627,025,Brentwood Station/UBC,WEST
307483,13.944397336815475,34.90195019371743,22.8710707375815,2.5104049397151957,1.6401620080918202,6627,025,Brentwood Station/UBC,WEST
307484,23.85521670546123,56.243159895598936,37.93506625971868,2.3584584097991077,1.5902209872205486,6627,025,Brentwood Station/UBC,WEST
307485,10.622876079780315,27.587597308084998,17.76877007837072,2.5976247842820452,1.6726891987558783,6628,026,Joyce Station/29th Avenue Station,EAST
307486,8.332083827150713,21.3909784647066,13.56843872069264,2.564146827610559,1.6284568185066592,6628,026,Joyce Station/29th Avenue Station,EAST
307487,10.75004259117382,25.996020619228048,17.058646400739924,2.414788213988632,1.5868445409458842,6628,026,Joyce Station/29th Avenue Station,WEST
307488,4.5147389254690875,11.671915673408295,7.322127269663161,2.565010509424136,1.6218273947927968,6629,027,Kootenay Loop/Joyce Station,NORTH
307489,7.5143381398348055,17.942934900241816,10.299584972897245,2.3644370611252747,1.370657638933942,6629,027,Kootenay Loop/Joyce Station,NORTH
307490,6.085627544027141,14.779413410154,8.76803545233309,2.426235393654146,1.4407775350857037,6629,027,Kootenay Loop/Joyce Station,NORTH
307491,3.1161263558436185,11.727784568457773,,3.763577990496072,,6629,027,Kootenay Loop/Joyce Station,SOUTH
307492,6.678214543369005,20.242546330584233,,3.031131479698215,,6629,027,Kootenay Loop/Joyce Station,SOUTH
307493,6.1159305641323565,18.485867215737876,12.251461481164364,3.0201480931814215,2.0032048030457705,6629,027,Kootenay Loop/Joyce Station,SOUTH
307494,12.222925815307015,21.534747611374417,13.702966041192804,1.7613699647760643,1.12108722970668,6630,028,Phibbs Exchange/Joyce Station,NORTH
307495,4.882302883675097,7.750844709681423,5.209663936435776,1.5905227534662914,1.067050541631752,6630,028,Phibbs Exchange/Joyce Station,NORTH
307497,8.550403009503373,19.10360672804985,12.253653599470333,2.231494208896744,1.4331083091464776,6630,028,Phibbs Exchange/Joyce Station,NORTH
307499,11.832109817095269,30.837330975904194,21.879810567057774,2.6030106756924205,1.849189274379907,6630,028,Phibbs Exchange/Joyce Station,SOUTH
307501,3.356175583822718,8.512932874366696,6.5335687487611205,2.5345202473426824,1.9467303141867565,6630,028,Phibbs Exchange/Joyce Station,SOUTH
307502,7.334927070650466,21.37464696399819,14.792885406259156,2.9009853523554017,2.0167733453616075,6630,028,Phibbs Exchange/Joyce Station,SOUTH
307503,4.1408387201059,11.192883540020881,7.538751892611239,2.7060999825087473,1.8205857320660002,6631,029,Elliott/29th Avenue Station,NORTH
307504,4.783935418545617,11.632776866682308,7.275772717238848,2.413825542681552,1.520876032112236,6631,029,Elliott/29th Avenue Station,SOUTH
307505,5.051256384752251,18.98339749541642,14.034264808937351,3.7506091878544527,2.7783711100670434,39304,031,Metrotown Station/River District,NORTH
307506,5.667434777374212,6.283350600584732,2.5695908668120846,1.1026384885002323,0.45339575447264446,39304,031,Metrotown Station/River District,SOUTH
307507,17.637618153800975,39.058461895160384,25.717884044737218,2.211402860807296,1.4581268185123348,11201,033,29th Avenue Station/UBC,EAST
307508,17.84692942346305,39.796568040506166,25.86082644983518,2.2248993870820395,1.4490350601059923,11201,033,29th Avenue Station/UBC,WEST
307509,7.328082410827314,20.3042712023711,12.769564759915134,2.7645326350802346,1.7425520134773562,6633,041,Joyce Station/Crown,EAST
307510,12.23811107832143,37.29955858281468,25.29230108741161,3.0331645143716486,2.06668340608661,6633,041,Joyce Station/Crown,EAST
307511,4.01795476997459,15.142488667697302,10.430924541744933,3.7124898988458868,2.596078138980867,6633,041,Joyce Station/Crown,EAST
307512,12.530620984058167,30.118584132782857,18.01041275319863,2.4048089050323784,1.4373120674635373,6633,041,Joyce Station/Crown,WEST
307513,7.847729599137897,20.27776177424183,12.675433826312833,2.5918379739014643,1.615172091009007,6633,041,Joyce Station/Crown,WEST
