shape_id,distance_km,pack_used_kwh_heavy_duty,pack_used_kwh_medium_duty,kwh_per_km_heavy_duty,kwh_per_km_medium_duty,route_id,route_short_name,route_long_name,route_direction,Asset Class,Depot Code
310032,16.830375175101356,42.79849536083146,29.391135144055955,2.542931747840477,1.7463149120725976,6641,099,Commercial-Broadway/UBC (B-Line),WEST,60-ft,BTC
310033,12.364658361816351,31.37222647849911,20.45117759613825,2.537249761415209,1.6540026418598113,6641,099,Commercial-Broadway/UBC (B-Line),WEST,60-ft,BTC
310035,14.944313448822513,36.23800229841878,24.74473552329856,2.424868992645094,1.6557960730707397,6642,100,22nd St Station/Marpole Loop,EAST,40-ft,HTC
310036,15.211029298139543,37.28240519456916,25.67678120703244,2.451011332883907,1.6880370620397767,6642,100,22nd St Station/Marpole Loop,EAST,40-ft,HTC
310037,16.805088457688324,36.21514906235062,23.62133581785016,2.155010915505309,1.4056061577613062,6642,100,22nd St Station/Marpole Loop,WEST,40-ft,HTC
310038,17.663729489567356,38.41706431440456,25.791588715632674,2.174912400979343,1.4601440047451948,6642,100,22nd St Station/Marpole Loop,WEST,40-ft,HTC
310039,16.46359227451425,34.845783636178275,23.00712307423836,2.1165358723150463,1.397454619296758,6642,100,22nd St Station/Marpole Loop,WEST,40-ft,HTC
310040,17.35174258116721,37.06454556457832,24.883564952020407,2.136070506532669,1.4340672030847148,6642,100,22nd St Station/Marpole Loop,WEST,40-ft,HTC
310043,12.181801834849214,27.925016036969428,19.032043312293737,2.2923551388828747,1.562334010215765,6643,101,Lougheed Station/22nd St Station,EAST,40-ft,PCT
310044,12.050211646904405,27.070390848362,18.725854242219363,2.246466007534079,1.553985505891913,6643,101,Lougheed Station/22nd St Station,WEST,40-ft,PCT
310045,5.752634970223397,11.65838418099622,7.7267257036939805,2.026616366472403,1.3431628712214156,6643,101,Lougheed Station/22nd St Station,WEST,40-ft,PCT
310046,3.353629377864002,12.217166610329086,8.33111280427481,3.6429686270551636,2.4842079626524125,46099,102,New Westminster Station/Victoria  Hill,EAST,28-ft Shuttle,XHT
310047,3.084587433112342,5.252228800097834,2.7073731039086497,1.702732995575472,0.8777099572038768,46099,102,New Westminster Station/Victoria  Hill,WEST,28-ft Shuttle,XHT
310048,1.3674998304947843,3.680913207361715,2.3256966978056357,2.691710174494061,1.7006924943926025,6790,103,New Westminster Station/Quayside,EAST,28-ft Shuttle,XHT
310049,1.6848636954624845,4.034337464381234,2.5824409991643336,2.3944592522505705,1.5327299211913221,6790,103,New Westminster Station/Quayside,WEST,28-ft Shuttle,XHT
310050,4.140640738718978,9.790518886769185,7.239922669003583,2.364493686983854,1.7485029795759228,6644,104,22nd St Station/Annacis Island,NORTH,40-ft,HTC
310051,11.105446351611208,22.87550397200282,16.110774486926,2.05984552513587,1.4507093165677762,6644,104,22nd St Station/Annacis Island,NORTH,40-ft,HTC
310053,5.686767420387091,8.772630370995877,5.576435114829977,1.542639204752062,0.9805984142833813,6644,104,22nd St Station/Annacis Island,SOUTH,40-ft,HTC
310054,11.69542752288387,21.53310092490132,14.297978898981444,1.8411555184937494,1.2225272544338623,6644,104,22nd St Station/Annacis Island,SOUTH,40-ft,HTC
