shape_id,distance_km,pack_used_kwh_heavy_duty,pack_used_kwh_medium_duty,kwh_per_km_heavy_duty,kwh_per_km_medium_duty,depot_code,record_type,from_stop_name,to_stop_name
58597_57359,3.996191007439434,8.71604812630911,6.939642109477369,2.181088969491959,1.7365641673679546,RTC,interline,South Delta Exchange @ Bay 2,Westbound 2nd Ave @ 52A St
HTC_52230,3.408037570264233,6.401374476471255,5.2010528224348,1.8783168742987013,1.5261136989260218,HTC,pullout,HTC,22nd Street Station @ Bay 4
52667_61987,4.681997562989167,3.1172789372952194,2.267624813642964,0.6658010593463506,0.48432849080665163,HTC,interline,Edmonds Station @ Bay 6,Eastbound North Fraser Way @ Byrne Rd
60212_HTC,9.403387191897371,10.278109080017447,5.571086232501552,1.0930220005057112,0.5924552630675463,HTC,pullin,Metrotown Station @ Bay 12,HTC
61035_52230,11.752489019239803,17.06342180238411,11.631211386223054,1.4518985531022295,0.9896806852728637,HTC,interline,Surrey Central Station @ Bay 12,22nd Street Station @ Bay 4
52242_51417,0.7714739779618518,1.3610535193301545,0.8844565068731362,1.76422479333121,1.146450213667312,HTC,interline,Northbound 6th St @ 6th Ave,Southbound 8th St @ 8th Ave
52605_52230,2.500401416191072,2.530904703026885,1.159051326482784,1.0121993559267295,0.4635461006290733,HTC,interline,Edmonds Station @ Bay 5,22nd Street Station @ Bay 4
59555_HTC,0.1308381974014429,0.3753740648495643,0.2503740648495645,2.868994470306151,1.9136159762378637,HTC,pullin,Eastbound Westminster Hwy @ Boundary Rd,HTC
HTC_52340,5.667269271084705,6.9145575279748535,5.224462172972544,1.2200862879859986,0.9218658798565594,HTC,pullout,HTC,Southbound Cliveden Ave @ 1600 Block
52453_52804,5.009771794311323,11.686539332788602,8.453759077666017,2.332748838192362,1.687453925000216,HTC,interline,Edmonds Station @ Bay 3,Metrotown Station @ Bay 6
HTC_53497,3.379187046869928,6.296702393231212,5.224480171008993,1.8633778793226965,1.5460760527737945,HTC,pullout,HTC,22nd Street Station @ Bay 3
61035_52771,12.60740977626398,20.1724373169192,14.56415894150369,1.6000461375419024,1.1552062794788895,HTC,interline,Surrey Central Station @ Bay 12,Edmonds Station @ Bay 4
60482_61693,4.159131762206639,7.299186329963831,5.1281728389757415,1.7549783818561275,1.2329911943580685,RTC,interline,Richmond-Brighouse Station @ Bay 2,Bridgeport Station @ Bay 6
58322_HTC,3.943299205240388,3.479950172736585,2.093526155179251,0.8824971151344433,0.5309072546148897,HTC,pullin,22nd Street Station @ Unloading Only,HTC
52453_HTC,5.312171718159673,4.342782617206042,2.2962559865933767,0.8175154809774369,0.43226313237270164,HTC,pullin,Edmonds Station @ Bay 3,HTC
58322_61657,3.5496203185944637,4.079270105486699,2.4626826572530987,1.149213081781648,0.693787626905472,HTC,interline,22nd Street Station @ Unloading Only,New Westminster Station @ Bay 10
56600_59982,7.075555577694935,10.936915752338344,7.600429963397581,1.5457324350353498,1.0741813670939517,RTC,interline,Westbound Steveston Hwy @ No. 5 Rd,Southbound Buswell St @ Cook Rd
60063_52667,4.615211016959901,10.41929979557952,8.497842415249828,2.2575998707948233,1.841268445586149,HTC,interline,Byrne Rd @ North Fraser Way,Edmonds Station @ Bay 6
61035_61657,8.63794541509139,11.579545004851528,7.477520698291052,1.340543896540589,0.8656596376757654,HTC,interline,Surrey Central Station @ Bay 12,New Westminster Station @ Bay 10
HTC_56911,0.3878777942645111,0.7281549313468207,0.5059327091245989,1.8772792413330566,1.3043611070438874,HTC,pullout,HTC,Eastbound Ewen Ave @ Hume St
60690_HTC,16.121853557473425,23.009256539037715,16.202255400748445,1.427209126854497,1.0049871339538219,HTC,pullin,Brentwood Station @ Bay 8,HTC
52692_HTC,9.514328113944291,10.599757483840987,5.579367300691583,1.1140836596023926,0.58641737323673,HTC,pullin,Metrotown Station @ Bay 1,HTC
61035_52453,12.593728599978812,20.12089753385746,14.538496645253316,1.5976918490915637,1.1544235315089906,HTC,interline,Surrey Central Station @ Bay 12,Edmonds Station @ Bay 3
61035_61651,8.316830262588187,10.811997314404843,6.645709474341761,1.300014184856066,0.7990675851876319,HTC,interline,Surrey Central Station @ Bay 12,New Westminster Station @ Bay 4
VTC_50315,10.339352172123782,18.064892001982333,13.099202860937645,1.747197667827545,1.2669268483043623,VTC,pullout,VTC,Eastbound W Broadway @ Alma St
HTC_51389,15.552056846347492,24.529242575094663,18.05408360334763,1.577234626740419,1.160880762057384,HTC,pullout,HTC,Brentwood Station @ Bay 7
61773_RTC,8.220417453941328,12.30519315417227,8.70470323815207,1.496906114940972,1.058912553641488,RTC,pullin,Eastbound Lansdowne Rd @ No. 3 Rd,RTC
RTC_56958,11.65617731721956,13.500220353709748,10.92181735097896,1.1582030700378931,0.9369982159454853,RTC,pullout,RTC,Northbound Knight St Bridge Offramp @ SE Marine Dr
61650_HTC,6.050543947211969,7.927005310119576,5.577219243474197,1.3101310195048268,0.9217715451920855,HTC,pullin,New Westminster Station @ Bay 3,HTC
52515_HTC,10.05361974036394,11.676382485946748,6.539212583936109,1.1614107940712768,0.6504336500496477,HTC,pullin,Patterson Station @ Bay 1,HTC
61657_52667,5.124298150394017,12.76904453869849,9.7621762206159,2.491862136811195,1.905075765325105,HTC,interline,New Westminster Station @ Bay 10,Edmonds Station @ Bay 6
52605_61657,4.75465084800755,4.759360298686143,2.000291765144053,1.0009904934829372,0.42070213546432766,HTC,interline,Edmonds Station @ Bay 5,New Westminster Station @ Bay 10
HTC_52992,5.206355717886492,11.920770198453903,9.341293729529584,2.2896572659259466,1.7942096613639877,HTC,pullout,HTC,Edmonds Station @ Bay 2
HTC_60690,15.15033746726959,23.730944051141226,17.78656894742846,1.5663640564052757,1.174004802589653,HTC,pullout,HTC,Brentwood Station @ Bay 8
52453_52230,2.445836118804161,2.440377499328413,1.0294729503218385,0.9977681990081916,0.4209083930059783,HTC,interline,Edmonds Station @ Bay 3,22nd Street Station @ Bay 4
HTC_61654,6.285958005338391,9.401579663762076,6.615761781038247,1.495647863981548,1.0524667481742271,HTC,pullout,HTC,New Westminster Station @ Bay 7
HTC_60212,9.682956677280696,22.50304250687544,17.072982168171944,2.3239846316440462,1.7631992724113497,HTC,pullout,HTC,Metrotown Station @ Bay 12
HTC_59556,0.5623789810405172,1.081010349128314,0.7837881269060919,1.922209729688371,1.393700962037952,HTC,pullout,HTC,Eastbound Boyd St @ Gifford St
RTC_55096,26.559765784683048,30.01387818857766,24.58444060586974,1.1300505596283004,0.9256271612171945,RTC,pullout,RTC,Scott Road Station @ Bay 7
56600_RTC,0.834152003874445,1.3204106353271043,0.9954106353271036,1.5829376770589765,1.1933204388452574,RTC,pullin,Westbound Steveston Hwy @ No. 5 Rd,RTC
58194_RTC,7.976823409557405,11.332730044039804,8.146347708833005,1.4207071489712972,1.0212521063300066,RTC,pullin,Steveston Exchange @ Bay 1,RTC
60662_HTC,19.095535204246275,14.29830386599776,7.132682650649672,0.7487773300440537,0.3735261973209097,HTC,pullin,SFU Transit Exchange @ Bay 4,HTC
58194_60483,8.142364780393082,12.874164358281895,8.936232668759622,1.5811333323315415,1.0974984429926529,RTC,interline,Steveston Exchange @ Bay 1,Richmond-Brighouse Station @ Bay 1
53104_RTC,26.23830008492366,28.71504789134872,23.235783510044392,1.0943943700014385,0.8855674123262088,RTC,pullin,Scott Road Station @ Bay 1,RTC
56673_RTC,8.338509308920614,9.98869723705553,7.78912992737476,1.1978996325361813,0.9341153962665578,RTC,pullin,Ladner Exchange @ Bay 4,RTC
58279_RTC,7.516671130859624,11.43286752379291,7.8158473322385635,1.5210014279932211,1.039801688296655,RTC,pullin,Eastbound Cook Rd @ No. 3 Rd,RTC
52667_52230,4.129442042101596,4.042818986932884,2.9408971209327843,0.979023060673682,0.7121778416911922,HTC,interline,Edmonds Station @ Bay 6,22nd Street Station @ Bay 4
HTC_52716,10.655394514424277,18.514278885074333,13.65170128003714,1.7375498260539703,1.2812009223644176,HTC,pullout,HTC,Bus Loop @ Burnaby City Hall
HTC_52453,5.144853314529614,11.851892472124122,9.511235086288517,2.303640501985375,1.8486892637789643,HTC,pullout,HTC,Edmonds Station @ Bay 3
HTC_61736,8.321288455928924,15.296123666958476,12.290031815314157,1.8381917353267543,1.4769385631088776,HTC,pullout,HTC,Eastbound 8th Ave @ 8th St
52667_HTC,5.285295028887822,4.253255028161805,2.2251361765512385,0.8047337007517651,0.4210051027216679,HTC,pullin,Edmonds Station @ Bay 6,HTC
60063_60212,6.590834839101042,14.399014410101186,11.8608293773365,2.184702660833956,1.7995943862787283,HTC,interline,Byrne Rd @ North Fraser Way,Metrotown Station @ Bay 12
60063_HTC,6.618407399050883,7.905485431308648,6.110888023452211,1.1944694478073892,0.9233169938025493,HTC,pullin,Byrne Rd @ North Fraser Way,HTC
61678_52992,4.730310438328508,11.754527552132505,9.285988791635548,2.4849378714953976,1.9630823204315582,HTC,interline,New Westminster Station @ Unloading Only,Edmonds Station @ Bay 2
61678_52605,4.728950902969559,11.66148362258747,9.30830677321587,2.4659768861767217,1.9683661269079133,HTC,interline,New Westminster Station @ Unloading Only,Edmonds Station @ Bay 5
58086_52230,7.12547983937567,12.637010991733604,9.38744481970566,1.7734961401337501,1.3174473903961228,HTC,interline,Braid Station @ Bay 6,22nd Street Station @ Bay 4
HTC_61987,6.929372365938232,9.027023843133174,6.855192454605128,1.30271882739425,0.9892948585505753,HTC,pullout,HTC,Eastbound North Fraser Way @ Byrne Rd
HTC_56919,3.43804620737368,6.434915476735403,5.163619511523144,1.87167800797274,1.5019052101302697,HTC,pullout,HTC,22nd Street Station @ Bay 7
61657_HTC,6.460548298728481,8.947853855690843,6.302233784150414,1.3849991427897683,0.9754951890678961,HTC,pullin,New Westminster Station @ Bay 10,HTC
RTC_56927,9.06974580374894,13.434210019272983,9.450806034846828,1.481211305141541,1.0420144334078665,RTC,pullout,RTC,Westbound Cambie Rd @ Jacombs Rd
VTC_60158,13.067393094214422,21.74334106142584,16.80624614854283,1.6639386987640779,1.2861208067570709,VTC,pullout,VTC,UBC Exchange @ Bay 1
61709_HTC,30.116619161005485,35.244370110009534,27.22946197689119,1.170263166711733,0.9041340872732309,HTC,pullin,Carvolth Exchange @ Bay 1 Unloading Only,HTC
60482_59982,0.4340911047355865,1.2782781553137177,0.7468752186425869,2.9447232190863306,1.7205494664478864,RTC,interline,Richmond-Brighouse Station @ Bay 2,Southbound Buswell St @ Cook Rd
59982_RTC,7.164393826284409,10.61124313618039,7.545277193513717,1.481108296594519,1.0531633766184012,RTC,pullin,Southbound Buswell St @ Cook Rd,RTC
RTC_51999,19.162439104000807,31.50602515500351,24.556624011902407,1.6441552656219824,1.2814978238743826,RTC,pullout,RTC,Metrotown Station @ Bay 3
56599_RTC,0.504909966956921,0.8271364283032974,0.6465808727477419,1.6381859785585668,1.2805864709795047,RTC,pullin,Eastbound Horseshoe Way @ No. 5 Rd,RTC
RTC_58279,7.379320975437585,10.636032961683703,7.620330973752247,1.4413294931994742,1.0326601863663167,RTC,pullout,RTC,Eastbound Cook Rd @ No. 3 Rd
59982_60483,0.7251722804679042,1.7030916822404505,1.1713763575917582,2.3485338975471617,1.6153076850041055,RTC,interline,Southbound Buswell St @ Cook Rd,Richmond-Brighouse Station @ Bay 1
56647_RTC,2.9499367004527235,3.637621355157955,2.7377664329008344,1.2331184444058387,0.9280763321059304,RTC,pullin,Entertainment Blvd @ Riverport Recreation Complex,RTC
HTC_52356,2.662509065259561,3.576789950322877,2.6027254674236726,1.3433907125398596,0.9775461429912314,HTC,pullout,HTC,Southbound Furness St @ Ewen Ave
56669_RTC,19.27116501472053,22.82106355661997,18.342800006345698,1.184207780857452,0.9518262124959395,RTC,pullin,Tsawwassen Ferry Terminal @ Bay 1,RTC
