block_id,line_group,block_number,service_id,service_day,depot_code,asset_class,asset_class_new,total_distance_km,total_energy_require_medium_kwh,total_energy_require_heavy_kwh,avg_kwh_per_km_medium,avg_kwh_per_km_heavy,soc_left_medium_percent_depot_only,soc_left_heavy_percent_depot_only,medium_success_depot_only,heavy_success_depot_only,soc_left_medium_percent_on_route_charge,medium_success_on_route_charge,soc_left_heavy_percent_on_route_charge,heavy_success_on_route_charge,total_energy_received_medium,total_energy_received_heavy
2162488,601,12,1,MF,RTC,DS40SD,40-ft,121.08434808202324,142.54988309450005,193.42396744174533,1.1772775371259043,1.597431629319413,64.72519803289006,55.70497031174728,SUCCESS,SUCCESS,64.72519803289003,SUCCESS,55.7049703117473,SUCCESS,0.0,0.0
2162489,601,26,1,MF,RTC,DS40SD,40-ft,43.80235425584568,49.269127871907735,65.43138834659486,1.1248054747041931,1.4937870225973677,81.2643390298036,78.398690009469,SUCCESS,SUCCESS,81.2643390298036,SUCCESS,78.39869000946901,SUCCESS,0.0,0.0
2162490,601,20,1,MF,RTC,DS40SD,40-ft,98.07925564299899,109.07620390737486,145.54114552464543,1.112123080383113,1.4839136428033681,70.6602475341534,64.19483235378627,SUCCESS,SUCCESS,70.6602475341534,SUCCESS,64.19483235378628,SUCCESS,0.0,0.0
2162491,601,19,1,MF,RTC,DS40SD,40-ft,100.82287840855182,107.5777454338664,140.20021044808806,1.0669973634153023,1.3905594906740557,70.92593166066199,65.14180665814042,SUCCESS,SUCCESS,70.925931660662,SUCCESS,65.14180665814042,SUCCESS,0.0,0.0
2162492,601,11,1,MF,RTC,DS40HF,40-ft,109.27896202349018,120.09403864659927,158.2142506224642,1.09896760019357,1.4478015502055654,68.70673073641856,61.94782790381841,SUCCESS,SUCCESS,68.70673073641858,SUCCESS,61.9478279038184,SUCCESS,0.0,0.0
2162493,601,1,1,MF,RTC,DS40SD,40-ft,166.7421339039736,185.12326671897694,247.59531918381487,1.110236881252755,1.4848995475037186,57.17672575904664,46.10012071208956,SUCCESS,SUCCESS,57.176725759046654,SUCCESS,46.10012071208956,SUCCESS,0.0,0.0
2162494,601,49,1,MF,RTC,DS40HF,40-ft,109.42703024049891,126.36111688688837,171.5947476552712,1.1547523185923232,1.568120301520931,67.59554665126095,59.57539935190227,SUCCESS,SUCCESS,67.59554665126095,SUCCESS,59.57539935190227,SUCCESS,0.0,0.0
2162495,601,45,1,MF,RTC,DS40SD,40-ft,95.65570575867692,105.58395928801271,139.7860191492346,1.1037915454242018,1.4613453326233456,71.27943984255094,65.21524483169601,SUCCESS,SUCCESS,71.27943984255096,SUCCESS,65.215244831696,SUCCESS,0.0,0.0
2162496,601,23,1,MF,RTC,DS40SD,40-ft,114.31624039314468,132.49902390364787,178.07766166566978,1.1590568710794793,1.5577634555968896,66.50726526531066,58.42594651317911,SUCCESS,SUCCESS,66.50726526531066,SUCCESS,58.425946513179106,SUCCESS,0.0,0.0
2162497,601,27,1,MF,RTC,DS40SD,40-ft,77.3155142591516,88.03874962910824,118.07678060089697,1.138694484188694,1.5272068191271273,74.39029261895244,69.06440060267785,SUCCESS,SUCCESS,74.39029261895244,SUCCESS,69.06440060267785,SUCCESS,0.0,0.0
2162498,601,21,2,SAT,RTC,DS40SD,40-ft,461.43103808560187,569.0815269920747,782.9657875736835,1.2332970260368619,1.6968208095018362,-10.90097996313381,-48.823721201007714,FAILURE,FAILURE,53.9017675694788,SUCCESS,17.930227938845874,FAILURE,365.4874960839352,376.4922731487742
2162499,601,22,2,SAT,RTC,DS40SD,40-ft,545.6249096304768,674.7938078671814,929.666830296022,1.2367357060809117,1.7038570158492885,-29.644292175032156,-74.8345443787273,FAILURE,FAILURE,40.821137295410345,SUCCESS,-42.88678557655187,FAILURE,397.42502221329585,180.18535964426934
2162500,601,27,2,SAT,RTC,DS40SD,40-ft,264.163506325071,324.2843477913392,445.81404876640573,1.2275895043287526,1.6876443493970037,32.502775214301565,10.954955892481257,SUCCESS,FAILURE,32.50277521430154,SUCCESS,37.6912519287198,SUCCESS,0.0,150.79270964438547
2162501,601,23,2,SAT,RTC,DS40SD,40-ft,362.84000844140473,446.35218809785715,613.8076957454064,1.2301625446851427,1.691675894237916,10.859541117401218,-18.831151727908928,FAILURE,FAILURE,46.44328555959084,SUCCESS,17.930806762461213,FAILURE,200.69231865394948,207.33744588568754
2162502,601,25,2,SAT,RTC,DS40SD,40-ft,339.5744372928871,416.7871138125252,572.3930312066065,1.2273807096175535,1.6856187284583806,16.10157556515511,-11.488126100462132,FAILURE,FAILURE,54.765458268700826,SUCCESS,29.218778429442022,SUCCESS,218.06429844799783,229.5869415486594
2162503,601,24,2,SAT,RTC,DS40SD,40-ft,568.8664936650009,704.1029837628718,972.2459396840985,1.2377297513632612,1.7090933470527854,-34.840954567885056,-82.38403185888271,FAILURE,FAILURE,49.71486898837701,SUCCESS,-40.63881381206439,FAILURE,476.8948448573183,235.44302978405514
2162504,601,26,2,SAT,RTC,DS40SD,40-ft,507.907450589572,628.4144756617676,866.95956150056,1.237261778562832,1.7069242841273644,-21.421006323008434,-63.71623430860992,FAILURE,FAILURE,51.59044045632696,SUCCESS,17.9016961026007,FAILURE,411.78455983545183,460.32512751922786
2162505,601,28,2,SAT,RTC,DS40SD,40-ft,142.30690553235638,171.98993461178966,235.2412923993287,1.2085846007851266,1.653056058799914,59.50533074259049,48.290550993026834,SUCCESS,SUCCESS,59.50533074259048,SUCCESS,48.29055099302682,SUCCESS,0.0,0.0
2162506,601,29,2,SAT,RTC,DS40SD,40-ft,203.2352059287137,248.13714120156442,340.5276705828672,1.2209358121181053,1.6755348514878365,46.00405297844603,29.622753442754046,SUCCESS,SUCCESS,46.00405297844601,SUCCESS,29.622753442754036,SUCCESS,0.0,0.0
2162507,601,47,3,SUN,RTC,DS40SD,40-ft,240.98340764869002,294.0577749183076,403.2349393783292,1.2202407534505046,1.6732892248173883,37.862096645690144,18.50444337263667,SUCCESS,FAILURE,37.862096645690144,SUCCESS,44.733518313786746,SUCCESS,0.0,147.9319826680865
2162508,601,45,3,SUN,RTC,DS40SD,40-ft,362.84000844140473,446.35218809785715,613.8076957454064,1.2301625446851427,1.691675894237916,10.859541117401218,-18.831151727908928,FAILURE,FAILURE,55.137669991970824,SUCCESS,33.07763244761584,SUCCESS,249.72864685257258,292.76554274995965
2162509,601,44,3,SUN,RTC,DS40SD,40-ft,400.5027376892445,492.9343204023,677.679409390145,1.2307888910981037,1.6920718527421543,2.6002978010106443,-30.155923650734923,FAILURE,FAILURE,49.8103140703891,SUCCESS,23.29828728894832,SUCCESS,266.26449175929446,301.4817496998134
