block_id,line_group,block_number,service_id,service_day,depot_code,asset_class,asset_class_new,total_distance_km,total_energy_require_medium_kwh,total_energy_require_heavy_kwh,avg_kwh_per_km_medium,avg_kwh_per_km_heavy,soc_left_medium_percent_depot_only,soc_left_heavy_percent_depot_only,medium_success_depot_only,heavy_success_depot_only,soc_left_medium_percent_on_route_charge,medium_success_on_route_charge,soc_left_heavy_percent_on_route_charge,heavy_success_on_route_charge,total_energy_received_medium,total_energy_received_heavy
2161062,210,21,1,MF,BTC,DS40LF,40-ft,353.2871222858758,545.2445741282534,813.0356924174317,1.5433468692556753,2.301345396222885,-6.674569880895982,-54.1552646130198,FAILURE,FAILURE,32.162483184323534,SUCCESS,-17.69362396175253,FAILURE,219.0409792878378,205.6436532731476
2161063,210,70,1,MF,BTC,DS40LF,40-ft,149.03773950951106,228.24844931750764,342.5273453494386,1.531480885772168,2.298259128705986,49.53041678767596,29.26820117917756,SUCCESS,SUCCESS,61.59094621678282,SUCCESS,43.221521216095724,SUCCESS,68.02138598016262,78.69672500821844
2161064,210,26,1,MF,BTC,DS40LF,40-ft,350.85520904256543,550.404890010699,823.8378365157259,1.5687522254911836,2.3480849515213515,-7.589519505443078,-56.07053838931311,FAILURE,FAILURE,49.65157655625456,SUCCESS,-26.873733490123165,FAILURE,322.83978178797474,164.66997963143126
2161065,210,61,1,MF,BTC,DS40LF,40-ft,228.55767638527965,336.10299875958907,498.24828983384424,1.4705390957555076,2.179967427538715,30.40726972347712,1.6581046393893233,SUCCESS,FAILURE,66.69632020455593,SUCCESS,62.238764836588324,SUCCESS,204.6702447132845,341.6749235122024
2161066,210,40,2,SAT,BTC,DS40LF,40-ft,386.8482129619844,598.5677529735121,893.6902441478527,1.5472935712703768,2.310183204169734,-16.129034215161724,-68.4557170474916,FAILURE,FAILURE,-8.17248116588857,FAILURE,-62.262685569942036,FAILURE,44.874959197900495,34.928697533379534
2161067,210,46,2,SAT,BTC,DS40LF,40-ft,350.3766315265299,554.7893451707273,819.2036652200823,1.5834085245742757,2.338065931083802,-8.366905172114766,-55.24887681207132,FAILURE,FAILURE,36.00455407107836,SUCCESS,-26.680612086959872,FAILURE,250.2550301316093,161.12501304962862
2161068,210,41,2,SAT,BTC,DS40LF,40-ft,292.96548433167914,446.2191797769456,673.7260913214434,1.5231117781498151,2.299677359120873,10.883124153023829,-29.45498073075237,FAILURE,FAILURE,47.01609746137388,SUCCESS,-29.45498073075239,FAILURE,203.7899694590945,0.0
2161069,240,55,2,SAT,BTC,DS40LF,40-ft,311.24062321912197,476.6371417702749,719.8629399347593,1.531410446491457,2.3128823367891664,5.489868480447713,-37.63527303807789,FAILURE,FAILURE,40.31614041256204,SUCCESS,-12.8773827596281,FAILURE,196.42017369712482,139.63450117045676
2161070,210,68,2,SAT,BTC,DS40LF,40-ft,199.1159572620424,306.8391368087731,456.8785585373652,1.5410072654546911,2.294535128272516,35.59589772894095,8.993163379899787,SUCCESS,FAILURE,52.75321690357294,SUCCESS,28.299021571700543,SUCCESS,96.76728014492431,108.88504020175623
2161071,210,43,2,SAT,BTC,DS40LF,40-ft,416.81182098971254,649.0006715836643,968.8453194324726,1.5570591785103964,2.3244190079157687,-25.071041060933375,-81.78108500575755,FAILURE,FAILURE,19.686888986211564,FAILURE,-66.01895080455927,FAILURE,252.43472546589726,88.89843689475836
