dist_km,soc_pct,net_energy_kwh,phase,cum_used_kwh,cum_charged_kwh,charge_kwh,charge_duration_sec,block_id,mode,stop_code,candidate_name,event_type,start_sec,end_sec
0.0,90.0,507.6,start,0.0,0.0,0.0,0.0,2159903,heavy,,,,,
9.5,86.9102351196788,490.17372607498845,drive,17.426273925011596,0.0,0.0,0.0,2159903,heavy,,,,,
13.0,86.30559574614315,486.76356000824734,drive,20.836439991752684,0.0,0.0,0.0,2159903,heavy,,,,,
37.5,80.38959941868626,453.39734072139044,drive,54.20265927860957,0.0,0.0,0.0,2159903,heavy,,,,,
59.95833333333333,74.51241909690553,420.2500437065472,drive,87.3499562934528,0.0,0.0,0.0,2159903,heavy,,,,,
67.5,73.23789441083878,413.0617244771307,drive,94.5382755228693,0.0,0.0,0.0,2159903,heavy,,,,,
0.0,90.0,507.6,start,0.0,0.0,0.0,0.0,2159904,heavy,,,,,
8.5,86.9102351196788,490.17372607498845,drive,17.426273925011596,0.0,0.0,0.0,2159904,heavy,,,,,
11.0,86.30559574614315,486.76356000824734,drive,20.836439991752684,0.0,0.0,0.0,2159904,heavy,,,,,
31.0,80.62230813878443,454.70981790274425,drive,52.89018209725579,0.0,0.0,0.0,2159904,heavy,,,,,
51.0,74.72585209374517,421.4538058087227,drive,86.14619419127732,0.0,0.0,0.0,2159904,heavy,,,,,
75.5,68.80985576628827,388.08758652186583,drive,119.5124134781342,0.0,0.0,0.0,2159904,heavy,,,,,
95.45,62.93267544450756,354.9402895070226,drive,152.65971049297744,0.0,0.0,0.0,2159904,heavy,,,,,
