block_id,line_group,block_number,service_id,depot_code,asset_class_new,service_day,total_distance_km,total_energy_require_medium_kwh,total_energy_require_heavy_kwh,soc_left_medium_percent_depot_only,soc_left_heavy_percent_depot_only,medium_success_depot_only,heavy_success_depot_only,soc_left_medium_percent_on_route_charge,soc_left_heavy_percent_on_route_charge,total_energy_received_medium,total_energy_received_heavy,medium_success_on_route_charge,heavy_success_on_route_charge
2161781,975.0,10.0,1,XHT,28-ft Shuttle,MF,128.87361786651218,177.43383577707132,253.9107822886552,58.540100039526365,44.98035775023844,SUCCESS,SUCCESS,68.57520385332595,62.54740888905798,56.5979855098297,99.07816842294227,SUCCESS,SUCCESS
2161782,975.0,12.0,1,XHT,28-ft Shuttle,MF,168.10518781720282,240.63228357775853,347.7292353110037,47.33470149330523,28.345880264006436,SUCCESS,SUCCESS,57.710230168438606,43.6796684009851,58.517981727752215,86.48256509255964,SUCCESS,SUCCESS
2161783,975.0,9.0,1,XHT,28-ft Shuttle,MF,111.89059084861549,153.45970304652343,218.86079418730543,62.790832793169606,51.194894647640886,SUCCESS,SUCCESS,70.42761494345955,65.4987921488063,43.07145132763526,80.67398190657298,SUCCESS,SUCCESS
2161784,975.0,5.0,2,XHT,28-ft Shuttle,SAT,323.3067740638784,459.3582384550573,665.2056994029534,8.553503820025307,-27.944272943786064,FAILURE,FAILURE,56.622821101472155,41.33962568333578,271.11094946736023,390.7611882569673,SUCCESS,SUCCESS
2161785,975.0,1.0,2,XHT,28-ft Shuttle,SAT,375.554086452921,537.9769415883886,779.4252285170131,-5.385982551132732,-48.19596250301651,FAILURE,FAILURE,70.13294822630338,49.652082688087305,425.9267695847397,551.8629748778258,SUCCESS,SUCCESS
2161786,975.0,2.0,2,XHT,28-ft Shuttle,SAT,352.60271801991234,502.0823760708201,727.4906365506987,0.978302115102825,-38.98770151608132,FAILURE,FAILURE,68.65843597738154,47.11969021194218,381.71595498325195,485.64568934605273,SUCCESS,SUCCESS
2161787,975.0,4.0,2,XHT,28-ft Shuttle,SAT,335.6196910020156,478.10824334027217,692.4406484493489,5.229034868746074,-32.773164618678884,FAILURE,FAILURE,67.37438225077939,47.73513602960819,350.4997592346679,454.06681565633926,SUCCESS,SUCCESS
2161788,975.0,8.0,2,XHT,28-ft Shuttle,SAT,229.07436667275127,324.3562535095746,468.00054277828673,32.49002597347969,7.021180358459804,SUCCESS,FAILURE,62.334075563751824,42.00069160618687,168.3204396891349,197.2844434371807,SUCCESS,SUCCESS
2161789,975.0,6.0,2,XHT,28-ft Shuttle,SAT,282.5167883546101,399.0746358688497,577.0645039935814,19.242085838856436,-12.316401417301664,FAILURE,FAILURE,57.634131121802355,35.261287340405026,216.531135395815,268.3381645934659,SUCCESS,SUCCESS
2161790,975.0,55.0,3,XHT,28-ft Shuttle,SUN,235.4189421957765,331.1858256077689,478.3508879597175,31.279108934792752,5.186012773099736,SUCCESS,FAILURE,67.00019137649427,60.58813503266515,201.46690497119653,312.467969543949,SUCCESS,SUCCESS
2161791,975.0,54.0,3,XHT,28-ft Shuttle,SUN,264.71488615181045,373.9099632235317,540.6358251074629,23.70390722987027,-5.857415799195544,SUCCESS,FAILURE,64.49098347036333,60.915617419902226,230.03910999638083,376.5999073557114,SUCCESS,SUCCESS
2161792,975.0,58.0,3,XHT,28-ft Shuttle,SUN,176.82705428370863,245.7375503762433,353.78101366422686,46.42951234463772,27.27286991769028,SUCCESS,SUCCESS,68.63606563099862,62.256656775789864,125.2449605350755,197.30855787968176,SUCCESS,SUCCESS
2161793,975.0,52.0,3,XHT,28-ft Shuttle,SUN,352.60271801991234,502.0823760708201,727.4906365506987,0.978302115102825,-38.98770151608132,FAILURE,FAILURE,67.45861188290527,63.535707583453224,374.9489470904058,578.232027321375,SUCCESS,SUCCESS
2161794,975.0,56.0,3,XHT,28-ft Shuttle,SUN,235.4189421957765,331.1858256077689,478.3508879597175,31.279108934792752,5.186012773099736,SUCCESS,FAILURE,63.033283241885385,55.39048572850239,179.09354309200245,283.153227468471,SUCCESS,SUCCESS
2161801,312.0,45.0,1,STC,60-ft,MF,216.80365582329688,339.2907080429704,514.5974443133653,29.842073042026534,-1.2406816158448999,SUCCESS,FAILURE,72.26233690446116,66.37313637775642,239.25028818413125,381.3419334839115,SUCCESS,SUCCESS
2161813,801.0,54.0,2,STC,40-ft,SAT,331.72026505127474,525.1288660995624,799.9979188235644,-3.1079549821919112,-51.84360262829156,FAILURE,FAILURE,53.86292349651941,41.61423163841779,321.31575461993174,527.1021852642409,SUCCESS,SUCCESS
2161814,801.0,56.0,2,STC,40-ft,SAT,264.52571899895327,417.7161296597106,635.8112161007266,15.93685644331373,-22.7324851242423,FAILURE,FAILURE,53.438690781244304,40.37882496203455,211.51034566592836,355.94778888660153,SUCCESS,SUCCESS
2161815,801.0,55.0,2,STC,40-ft,SAT,174.7605315887178,273.6718318961728,414.31171928697273,41.47662555032397,16.540475303728243,SUCCESS,FAILURE,67.05697312473848,63.7524432796726,144.2731603196977,266.2754993843262,SUCCESS,SUCCESS
2161816,801.0,51.0,2,STC,40-ft,SAT,245.2780301480101,380.72937602442494,575.9156568566624,22.494791485031044,-12.112705116429497,SUCCESS,FAILURE,67.72411628407343,65.25777564625885,255.093391866599,436.3695115015625,SUCCESS,SUCCESS
