dist_km,soc_pct,net_energy_kwh,phase,cum_used_kwh,cum_charged_kwh,stop_code,charge_kwh,charge_duration_sec,candidate_name,event_type,start_sec,end_sec,block_id,mode
73.5,76.2704498524916,430.16533716805264,drive,77.43466283194736,0.0,,0.0,0.0,,,,,2159902,medium
96.0,72.5655033014099,409.269438619952,drive,98.33056138004807,0.0,,0.0,0.0,,,,,2159902,medium
119.0,68.81793084932858,388.1331299902133,drive,119.4668700097867,0.0,,0.0,0.0,,,,,2159902,medium
141.0,65.11298429824689,367.2372314421126,drive,140.36276855788742,0.0,,0.0,0.0,,,,,2159902,medium
163.5,61.36541184616557,346.10092281237394,drive,161.49907718762606,0.0,,0.0,0.0,,,,,2159902,medium
187.5,57.66046529508388,325.2050242642732,drive,182.39497573572677,0.0,,0.0,0.0,,,,,2159902,medium
211.0,53.91289284300256,304.0687156345346,drive,203.5312843654654,0.0,,0.0,0.0,,,,,2159902,medium
237.0,50.20794629192087,283.1728170864339,drive,224.42718291356613,0.0,,0.0,0.0,,,,,2159902,medium
260.5,46.46037383983955,262.0365084566953,drive,245.56349154330476,0.0,,0.0,0.0,,,,,2159902,medium
287.5,42.755427288757865,241.14060990859457,drive,266.45939009140545,0.0,,0.0,0.0,,,,,2159902,medium
311.5,39.00785483667654,220.0043012788559,drive,287.5956987211441,0.0,,0.0,0.0,,,,,2159902,medium
334.9583333333333,35.27448337149345,198.94808621522327,drive,308.65191378477675,0.0,,0.0,0.0,,,,,2159902,medium
342.5,34.47231634776509,194.42386420139525,drive,313.1761357986048,0.0,,0.0,0.0,,,,,2159902,medium
0.0,90.0,507.6,start,0.0,0.0,,0.0,0.0,,,,,2159903,medium
9.5,87.70868618944301,494.6769901084586,drive,12.9230098915414,0.0,,0.0,0.0,,,,,2159903,medium
13.0,87.47054130773593,493.33385297563063,drive,14.266147024369381,0.0,,0.0,0.0,,,,,2159903,medium
37.5,83.7229688556546,472.19754434589197,drive,35.402455654108024,0.0,,0.0,0.0,,,,,2159903,medium
59.95833333333333,79.98959739047152,451.14132928225933,drive,56.45867071774066,0.0,,0.0,0.0,,,,,2159903,medium
67.5,79.18743036674314,446.61710726843137,drive,60.982892731568654,0.0,,0.0,0.0,,,,,2159903,medium
0.0,90.0,507.6,start,0.0,0.0,,0.0,0.0,,,,,2159904,medium
8.5,87.70868618944301,494.6769901084586,drive,12.9230098915414,0.0,,0.0,0.0,,,,,2159904,medium
11.0,87.47054130773593,493.33385297563063,drive,14.266147024369381,0.0,,0.0,0.0,,,,,2159904,medium
31.0,83.92570768283797,473.34099133120617,drive,34.259008668793825,0.0,,0.0,0.0,,,,,2159904,medium
51.0,80.22076113175629,452.4450927831055,drive,55.15490721689453,0.0,,0.0,0.0,,,,,2159904,medium
75.5,76.47318867967496,431.30878415336684,drive,76.29121584663316,0.0,,0.0,0.0,,,,,2159904,medium
95.45,72.73981721449188,410.2525690897342,drive,97.3474309102658,0.0,,0.0,0.0,,,,,2159904,medium
103.0,71.9376501907635,405.72834707590624,drive,101.8716529240938,0.0,,0.0,0.0,,,,,2159904,medium
0.0,90.0,507.6,start,0.0,0.0,,0.0,0.0,,,,,2159905,medium
9.0,87.70868618944301,494.6769901084586,drive,12.9230098915414,0.0,,0.0,0.0,,,,,2159905,medium
12.5,87.47054130773593,493.33385297563063,drive,14.266147024369381,0.0,,0.0,0.0,,,,,2159905,medium
37.0,83.7229688556546,472.19754434589197,drive,35.402455654108024,0.0,,0.0,0.0,,,,,2159905,medium
59.5,80.01802230457292,451.3016457977913,drive,56.29835420220873,0.0,,0.0,0.0,,,,,2159905,medium
82.5,76.2704498524916,430.16533716805264,drive,77.43466283194736,0.0,,0.0,0.0,,,,,2159905,medium
104.5,72.5655033014099,409.269438619952,drive,98.33056138004807,0.0,,0.0,0.0,,,,,2159905,medium
127.5,68.81793084932858,388.1331299902133,drive,119.4668700097867,0.0,,0.0,0.0,,,,,2159905,medium
151.5,65.11298429824689,367.2372314421126,drive,140.36276855788742,0.0,,0.0,0.0,,,,,2159905,medium
175.0,61.36541184616557,346.10092281237394,drive,161.49907718762606,0.0,,0.0,0.0,,,,,2159905,medium
199.0,57.66046529508388,325.2050242642732,drive,182.39497573572677,0.0,,0.0,0.0,,,,,2159905,medium
222.0,53.91289284300256,304.0687156345346,drive,203.5312843654654,0.0,,0.0,0.0,,,,,2159905,medium
248.5,50.20794629192087,283.1728170864339,drive,224.42718291356613,0.0,,0.0,0.0,,,,,2159905,medium
273.0,46.46037383983955,262.0365084566953,drive,245.56349154330476,0.0,,0.0,0.0,,,,,2159905,medium
300.0,42.755427288757865,241.14060990859457,drive,266.45939009140545,0.0,,0.0,0.0,,,,,2159905,medium
321.5,39.00785483667654,220.0043012788559,drive,287.5956987211441,0.0,,0.0,0.0,,,,,2159905,medium
343.0,35.30290828559486,199.1084027307552,drive,308.49159726924483,0.0,,0.0,0.0,,,,,2159905,medium
360.5,31.57651366630529,178.09153707796202,drive,329.508462922038,0.0,,0.0,0.0,,,,,2159905,medium
381.0,27.871567115223606,157.1956385298613,drive,350.4043614701387,0.0,,0.0,0.0,,,,,2159905,medium
398.5,24.145172495934037,136.17877287706813,drive,371.4212271229319,0.0,,0.0,0.0,,,,,2159905,medium
417.45,20.411801030750947,115.12255781343549,drive,392.47744218656453,0.0,,0.0,0.0,,,,,2159905,medium
422.0,19.60963400702258,110.59833579960747,drive,397.00166420039255,0.0,,0.0,0.0,,,,,2159905,medium
0.0,90.0,507.6,start,0.0,0.0,,0.0,0.0,,,,,2159906,medium
12.5,87.70868618944301,494.6769901084586,drive,12.9230098915414,0.0,,0.0,0.0,,,,,2159906,medium
18.5,87.47054130773593,493.33385297563063,drive,14.266147024369381,0.0,,0.0,0.0,,,,,2159906,medium
43.5,83.7229688556546,472.19754434589197,drive,35.402455654108024,0.0,,0.0,0.0,,,,,2159906,medium
70.5,80.01802230457292,451.3016457977913,drive,56.29835420220873,0.0,,0.0,0.0,,,,,2159906,medium
94.0,76.2704498524916,430.16533716805264,drive,77.43466283194736,0.0,,0.0,0.0,,,,,2159906,medium
117.0,72.5655033014099,409.269438619952,drive,98.33056138004807,0.0,,0.0,0.0,,,,,2159906,medium
136.5,68.83910868212033,388.2525729671588,drive,119.34742703284121,0.0,,0.0,0.0,,,,,2159906,medium
